Subject,Expt,,,,,,,,,,,,,,
14,1,7,7,7,7,4,1,1,1,1,1,1,1,1,1
14,1,7,7,7,7,4,7,1,1,1,1,1,1,1,1
16,1,5,5,4,1,5,7,7,2,2,2,5,4,2,1
16,1,2,5,5,2,1,6,7,2,6,2,7,4,4,1
19,1,5,5,3,4,6,6,7,2,4,2,5,3,2,2
19,1,6,6,5,5,5,6,7,4,2,4,2,3,3,3
20,1,5,6,6,5,4,4,2,2,5,3,4,5,1,1
20,1,6,5,5,6,2,3,5,4,2,5,5,5,1,1
22,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
22,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
24,1,6,6,5,6,3,4,1,2,2,3,4,3,2,2
24,1,6,7,6,7,5,4,6,6,3,2,3,3,3,3
26,1,6,6,6,5,6,5,5,5,6,4,5,4,4,4
26,1,6,6,5,4,4,4,4,4,3,4,6,5,4,4
28,1,4,6,6,7,7,6,1,1,6,5,6,6,6,7
28,1,7,7,6,7,4,4,1,1,1,4,1,1,4,1
29,1,3,3,3,3,4,2,7,7,5,4,5,4,5,6
29,1,4,4,4,2,7,7,7,7,4,4,3,4,4,4
32,1,6,7,6,4,4,6,7,1,1,1,1,1,1,1
32,1,6,6,6,6,4,5,5,5,1,1,1,1,1,1
34,1,6,6,6,6,6,6,5,5,3,3,3,3,3,3
34,1,6,5,6,6,5,4,7,4,2,2,2,2,2,2
37,1,5,5,6,5,6,6,2,3,4,4,4,2,5,6
37,1,7,5,6,6,2,2,2,3,6,7,5,3,6,5
39,1,7,7,7,7,4,4,6,5,2,2,2,2,1,1
39,1,7,6,6,7,5,4,2,1,2,2,2,2,2,2
43,1,6,6,2,4,4,2,5,2,2,2,2,2,2,2
44,1,6,4,3,4,4,4,1,1,2,2,2,4,2,3
44,1,6,7,7,6,5,3,1,1,7,7,4,2,4,7
47,1,2,3,6,3,2,3,2,4,1,2,6,2,2,1
61,1,4,6,7,4,4,4,7,7,4,4,7,4,4,2
61,1,7,7,7,7,5,4,2,2,2,2,2,2,2,2
65,1,6,6,6,6,4,3,2,2,2,2,2,2,2,2
65,1,5,5,5,5,4,4,4,4,2,2,2,1,2,2
69,1,7,7,7,7,4,4,1,1,1,1,1,1,1,1
69,1,7,7,7,7,7,1,3,1,4,4,1,4,1,4
70,1,5,1,2,3,7,2,1,2,6,4,4,5,6,5
70,1,7,7,7,4,5,4,1,5,3,1,1,4,4,1
72,1,3,4,3,3,3,4,2,3,3,2,3,5,3,4
72,1,4,3,4,4,4,4,4,3,3,3,4,5,5,4
73,1,2,4,2,4,4,5,7,6,4,5,5,3,6,6
74,1,6,5,4,6,5,3,6,3,2,2,2,2,2,2
76,1,6,6,6,4,2,7,2,2,2,4,4,4,4,4
76,1,4,4,4,4,3,6,7,4,4,4,4,4,2,4
77,1,7,7,7,5,4,1,6,3,5,5,1,2,2,4
77,1,6,6,7,7,3,3,3,1,7,6,4,1,2,4
80,1,1,5,3,1,3,6,7,4,5,1,5,4,4,1
80,1,4,3,3,3,3,6,7,4,4,4,3,4,2,3
83,1,6,6,3,7,6,6,2,3,5,5,6,5,3,3
83,1,7,7,7,7,3,4,2,1,5,6,5,5,5,5
85,1,7,5,7,6,2,7,1,1,2,1,4,1,4,1
85,1,7,7,7,7,4,4,1,2,2,2,1,1,3,1
87,1,6,7,7,6,6,5,2,3,2,2,3,1,1,2
87,1,6,6,7,6,5,3,6,2,2,1,1,2,1,1
A,1,4,3,5,4,3,3,5,5,6,4,5,4,3,4
A,1,7,7,7,7,2,4,2,1,2,2,5,3,5,2
